noaa,icao
720137,KC09
720170,KM30
720319,KRSV
720330,KAJG
722074,KCUL
722075,KDKB
722076,KDNV
722082,KFEP
722089,KGBG
722126,KIGQ
722127,KIKK
722149,KVYS
722157,KMQB
722171,KPNT
722172,KPRG
722182,KRPJ
722194,KTIP
722204,KSFY
722972,K3LF
724330,KSLO
724335,KMVN
724336,KMDH
724338,KBLV
724339,KMWA
724390,KSPI
724395,KALN
724397,KBMI
724430,KUIN
724975,KCIR
725300,KORD
725305,KDPA
725306,KNBU
725314,KCPS
725315,KCMI
725316,KDEC
725317,KMTO
725320,KPIA
725326,KSQI
725340,KMDW
725342,KLWV
725345,KJOT
725347,KUGN
725348,KLOT
725430,KRFD
725440,KMLI
744652,KHSB
744653,KSAR
744655,KARR
744656,KFWC
744657,KENL
744658,KFOA
744659,KOLY
744662,KTAZ
744663,KPPQ
744665,KPWK
744666,KIJX
744672,KAAA
A00017,KC75
720266,KASW
720543,KGWB
720575,KTYQ
720593,KOXI
720736,KRCR
720903,KDCY
720961,KGGP
721029,KPPO
724320,KEVV
724356,KGEZ
724363,KBAK
724365,KHNB
724373,KHUF
724375,KBMG
724380,KIND
724384,KEYE
724385,KAID
724386,KLAF
724387,KOKK
724388,KGSH
725327,KVPZ
725330,KFWA
725335,KGUS
725336,KMIE
725337,KGYY
725350,KSBN
725354,KEKM
726358,KMGC
744214,KMZZ
744660,KRZL
720338,KFSK
720417,K2K3
720421,KADT
720422,KCBK
720423,KEGT
720425,KHQG
720426,KIDP
720431,KLQR
720432,KMPR
720433,KNRN
720434,KOEL
720435,KPHG
720436,KPTS
720437,KSYF
720438,KTQK
720439,KULS
720781,KLYO
722005,KUKL
724468,KOJC
724475,KIXD
724500,KICT
724502,KWLD
724504,KAAO
724505,KIAB
724506,KHUT
724507,KCNU
724508,KLWC
724509,KEWK
724510,KDDC
724515,KGCK
724516,KLBL
724517,KGBD
724518,KHYS
724519,KCFV
724520,KP28
724550,KFRI
724555,KMHK
724556,KEMP
724560,KTOP
724565,KFOE
