iata,icao,noaa
BSF,PHSF,911977
FTI,NSFQ,
HDH,PHDH,
HHI,PHHI,911700
HNL,PHNL,911820
HNM,PHHN,911907
ITO,PHTO,912850
JHM,PHJH,911904
JRF,PHJR,911780
KOA,PHKO,911975
LIH,PHLI,911650
LNY,PHNY,911905
LUP,PHLU,
MDY,PMDY,
MKK,PHMK,911860
MUE,PHMU,
NGF,PHNG,911760
OGG,PHOG,911900
PAK,PHPA,
UPP,PHUP,
BOI,KBOI,726810
BYI,KBYI,725867
CHL,KLLJ,722142
COE,KCOE,727834
GNG,KGNG,
IDA,KIDA,725785
IDH,KGIC,726873
LWS,KLWS,727830
MLD,KMLD,725786
MUO,KMUO,726815
MYL,KMYL,725864
PIH,KPIH,725780
RXE,KRXE,726818
SMN,KSMN,726865
SUN,KSUN,725865
TWF,KTWF,725866
ALN,KALN,724395
AUZ,KARR,744655
BLV,KBLV,724338
BMI,KBMI,724397
CIR,KCIR,724975
CMI,KCMI,725315
CPS,KCPS,725314
DEC,KDEC,725316
DNV,KDNV,722076
DPA,KDPA,725305
DVN,KDVN,744550
ENL,KENL,744657
EOK,KEOK,725456
FEP,KFEP,722082
GBG,KGBG,722089
GRE,KGRE,
HSB,KHSB,744652
IJX,KIJX,744666
IKK,KIKK,722127
JOT,KJOT,725345
LOT,KLOT,725348
LWV,KLWV,725342
MDH,KMDH,724336
MDW,KMDW,725340
MLI,KMLI,725440
MQB,KMQB,722157
MTO,KMTO,725317
MVN,KMVN,724335
MWA,KMWA,724339
OLY,KOLY,744659
ORD,KORD,725300
PIA,KPIA,725320
RFD,KRFD,725430
SAR,KSAR,744653
SLO,KSLO,724330
SPI,KSPI,724390
SQI,KSQI,725326
UGN,KUGN,725347
UIN,KUIN,724430
VLA,KVLA,
VYS,KVYS,722149
AID,KAID,724385
ANQ,KANQ,
BFR,KBFR,
BMG,KBMG,724375
CEV,KCEV,
CLU,KBAK,724363
EKI,KEKM,725354
EVV,KEVV,724320
FRH,KFRH,
FWA,KFWA,725330
GBI,VOGB,
GFD,KGFD,
GSH,KGSH,724388
GUS,KGUS,725335
HLB,KHLB,
HNB,KHNB,724365
IND,KIND,724380
LAF,KLAF,724386
LPO,KPPO,721029
MDN,KIMS,
MGC,KMGC,726358
MIE,KMIE,725336
MZZ,KMZZ,744214
OKK,KOKK,724387
RCR,KRCR,720736
RID,KRID,
RNZ,KRZL,744660
SBN,KSBN,725350
SER,KSER,
SIV,KSIV,
SMD,KSMD,
VPZ,KVPZ,725327
AIO,KAIO,725453
ALO,KALO,725480
AMW,KAMW,725472
AXG,KAXA,725457
BNW,KBNW,725486
BRL,KBRL,725420
CBF,KCBF,725497
CCY,KCCY,725463
CID,KCID,725450
CIN,KCIN,725468
CSQ,KCSQ,725474
CWI,KCWI,725473
DBQ,KDBQ,725470
DEH,KDEH,725476
DNS,KDNS,725477
DSM,KDSM,725460
EBS,KEBS,725478
EFW,KEFW,
EST,KEST,726499
FFL,KFFL,726498
FMS,KFSW,725483
FOD,KFOD,725490
FXY,KFXY,720643
HPT,KHPT,
ICL,KICL,725479
IDG,KIDG,
IFA,KIFA,722331
IOW,KIOW,725462
LRJ,KLRJ,725484
MCW,KMCW,725485
MIW,KMIW,725461
MPZ,KMPZ,720309
MUT,KMUT,725487
MXO,KMXO,725475
OMA,KOMA,725500
OOA,KOOA,720351
OTM,KOTM,725465
POH,KPOH,
PRO,KPRO,720412
SLB,KSLB,725496
SPW,KSPW,726500
SUX,KSUX,725570
TNU,KTNU,725464
ANY,KANY,
BEC,KBEC,
CBK,KCBK,720422
CEA,KCEA,
CFV,KCFV,724519
CNK,KCNK,724580
CNU,KCNU,724507
DDC,KDDC,724510
EDK,KEQA,
EMP,KEMP,724556
EWK,KEWK,724509
FLV,KFLV,
FOE,KFOE,724565
FRI,KFRI,724550
FSK,KFSK,720338
GBD,KGBD,724517
GCK,KGCK,724515
GLD,KGLD,724650
HLC,KHLC,724655
HUT,KHUT,724506
HYS,KHYS,724518
IAB,KIAB,724505
ICT,KICT,724500
IDP,KIDP,720426
JCI,KIXD,724475
LBL,KLBL,724516
LWC,KLWC,724508
LYO,KLYO,720781
